mass,fa
6.90,39.04
7.30,39.04
8.62,39.04
9.60,39.04
8.10,39.05
8.30,39.06
8.60,39.07
7.80,39.07
11.63,39.08
7.76,39.08
8.86,39.08
9.35,39.08
12.29,39.09
6.90,39.10
6.70,39.10
8.60,39.10
7.50,39.11
6.99,39.11
7.42,39.11
6.90,39.11
7.09,39.12
7.30,39.12
8.40,39.12
8.80,39.12
8.36,39.13
8.60,39.14
13.87,39.15
8.49,39.15
8.50,39.16
7.30,39.17
9.10,39.17
10.84,39.17
6.77,39.17
7.42,39.18
9.88,39.18
10.84,39.18
7.20,39.19
7.50,39.19
9.70,39.19
6.70,39.20
9.40,39.20
7.90,39.20
9.43,39.20
7.40,39.21
8.00,39.22
7.44,39.22
11.76,39.22
8.52,39.23
7.53,39.23
8.70,39.23
9.00,39.24
9.71,39.24
8.88,39.24
8.10,39.25
6.80,39.25
7.20,39.25
8.00,39.26
7.60,39.27
8.30,39.28
8.50,39.29
10.12,39.29
12.31,39.29
7.10,39.30
11.5,39.31
9.20,39.32
9.30,39.32
7.10,39.32
7.73,39.32
8.50,39.32
9.26,39.33
9.98,39.34
7.22,39.34
8.50,39.35
8.40,39.35
6.90,39.36
8.95,39.36
7.30,39.36
9.20,39.36
6.74,39.37
7.01,39.37
6.50,39.37
7.60,39.39
7.70,39.40
9.80,39.40
7.10,39.41
7.15,39.41
10.79,39.42
9.28,39.42
12.42,39.43
7.99,39.43
9.53,39.44
8.40,39.44
7.50,39.44
8.30,39.44
6.60,39.45
7.90,39.45
8.58,39.46
10.91,39.47
8.00,39.47
6.90,39.48
8.70,39.48
8.91,39.48
9.50,39.48
8.03,39.48
7.90,39.50
6.06,39.50
7.40,39.50
7.62,39.50
8.12,39.50
8.87,39.50
10.16,39.52
9.35,39.53
6.90,39.54
7.30,39.56
9.02,39.57
10.93,39.57
7.90,39.58
7.50,39.58
7.50,39.58
7.80,39.58
8.50,39.58
6.70,39.59
12.07,39.59
7.80,39.59
7.96,39.60
9.12,39.61
6.48,39.62
8.20,39.62
8.90,39.62
8.80,39.63
9.30,39.63
8.82,39.64
9.60,39.65
8.40,39.65
8.50,39.67
6.22,39.68
12.05,39.69
8.50,39.72
7.50,39.72
8.08,39.73
7.53,39.74
7.20,39.74
6.40,39.75
11.45,39.76
9.06,39.77
9.10,39.77
7.00,39.79
8.40,39.79
7.90,39.81
8.40,39.82
8.44,39.82
13.99,39.82
7.79,39.83
7.00,39.84
9.29,39.85
8.90,39.85
8.54,39.86
7.20,39.87
8.70,39.87
10.65,39.88
11.09,39.89
8.43,39.93
10.90,39.96
8.90,39.96
6.36,39.97
8.10,39.97
8.15,39.98
13.17,39.98
6.90,39.99
8.98,39.99
7.04,40.00
9.09,40.00
6.90,40.04
7.60,40.05
7.30,40.06
9.70,40.07
7.20,40.07
11.44,40.07
6.93,40.12
8.29,40.12
7.70,40.15
9.36,40.17
8.91,40.22
8.73,40.25
10.32,40.27
6.90,40.27
7.70,40.28
8.99,40.36
8.80,40.44
9.48,40.52
9.10,40.61
6.60,40.62
9.08,40.63
13.19,40.65
8.60,40.89
7.44,41.43
11.58,41.74
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
